file_path,input_deepth,vul_deepth
..\gpickle\binarybook_20.gpickle,2,2
..\gpickle\binarybook_21.gpickle,0,0
..\gpickle\binarybook_22.gpickle,3,2
..\gpickle\binarybook_23.gpickle,0,0
..\gpickle\binarybook_24.gpickle,7,8
..\gpickle\binarybook_25.gpickle,3,1
..\gpickle\binarybook_26.gpickle,0,0
..\gpickle\binarybook_3.gpickle,5,0
..\gpickle\binarybook_4.gpickle,7,8
..\gpickle\binarybook_5.gpickle,2,2
..\gpickle\binarybook_6.gpickle,7,8
..\gpickle\binarybook_7.gpickle,7,8
..\gpickle\binarybook_8.gpickle,0,0
..\gpickle\binarybook_9.gpickle,7,8
..\gpickle\binjgb_0.gpickle,29,23
..\gpickle\binjgb_1.gpickle,29,22
..\gpickle\binjgb_2.gpickle,29,18
..\gpickle\binPipe_0.gpickle,5,5
..\gpickle\biscuit_0.gpickle,42,12
..\gpickle\biscuit_1.gpickle,109,33
..\gpickle\biscuit_2.gpickle,42,12
..\gpickle\biteye_0.gpickle,9,10
..\gpickle\bithacks.h_0.gpickle,0,0
..\gpickle\BitPaint_0.gpickle,4,6
..\gpickle\Blast2Bam_0.gpickle,8,5
..\gpickle\Blast2Bam_1.gpickle,25,13
..\gpickle\blastbeat_0.gpickle,44,36
..\gpickle\Blend_0.gpickle,34,11
..\gpickle\Blend_1.gpickle,3,1
..\gpickle\Blend_2.gpickle,3,1
..\gpickle\ble_examples_0.gpickle,20,9
..\gpickle\ble_examples_1.gpickle,20,27
..\gpickle\ble_examples_2.gpickle,20,30
..\gpickle\blislab_0.gpickle,1,2
..\gpickle\blislab_1.gpickle,1,3
..\gpickle\blislab_2.gpickle,2,3
..\gpickle\blislab_3.gpickle,1,3
..\gpickle\blislab_4.gpickle,4,4
..\gpickle\blislab_5.gpickle,5,2
..\gpickle\blislab_6.gpickle,2,4
..\gpickle\blislab_7.gpickle,10,5
..\gpickle\blislab_8.gpickle,2,3
..\gpickle\blogs_code_0.gpickle,2,2
..\gpickle\Bluelog_0.gpickle,6,4
..\gpickle\Bluelog_1.gpickle,28,5
..\gpickle\bluepy_0.gpickle,5,16
..\gpickle\bluez-experiments_0.gpickle,8,3
..\gpickle\bluez-experiments_1.gpickle,5,2
..\gpickle\bluez-experiments_2.gpickle,6,1
..\gpickle\BME280_driver_0.gpickle,6,14
..\gpickle\BMFS_0.gpickle,14,11
..\gpickle\BMFS_1.gpickle,3,3
..\gpickle\BMFS_2.gpickle,9,6
..\gpickle\BMFS_3.gpickle,19,13
..\gpickle\BMFS_4.gpickle,0,0
..\gpickle\BMFS_5.gpickle,11,9
..\gpickle\BMFS_6.gpickle,0,0
..\gpickle\BMFS_7.gpickle,1,1
..\gpickle\bmon_0.gpickle,12,11
..\gpickle\bmpanel2_0.gpickle,11,13
..\gpickle\BMS_0.gpickle,5,3
..\gpickle\bnn-fpga_0.gpickle,65,13
..\gpickle\bnn-fpga_1.gpickle,65,14
..\gpickle\bnn-fpga_2.gpickle,56,15
..\gpickle\bnn-fpga_3.gpickle,9,6
